verse_id,citation,book_name,book_number,chapter_number,verse_number,length_chars,text
14742,Psalms 55:9,Psalms,19,55,9,93,"Destroy, O Lord, and divide their tongues: for I have seen violence and strife in the city."
14743,Psalms 55:10,Psalms,19,55,10,105,Day and night they go about it upon the walls thereof: mischief also and sorrow are in the midst of it.
14744,Psalms 55:11,Psalms,19,55,11,83,Wickedness is in the midst thereof: deceit and guile depart not from her streets.
14745,Psalms 55:12,Psalms,19,55,12,181,For it was not an enemy that reproached me; then I could have borne it: neither was it he that hated me that did magnify himself against me; then I would have hid myself from him:
14746,Psalms 55:13,Psalms,19,55,13,69,"But it was thou, a man mine equal, my guide, and mine acquaintance."
14747,Psalms 55:14,Psalms,19,55,14,78,"We took sweet counsel together, and walked unto the house of God in company."
14748,Psalms 55:15,Psalms,19,55,15,120,"Let death seize upon them, and let them go down quick into hell: for wickedness is in their dwellings, and among them."
14749,Psalms 55:16,Psalms,19,55,16,62,"As for me, I will call upon God; and the LORD shall save me."
14750,Psalms 55:17,Psalms,19,55,17,92,"Evening, and morning, and at noon, will I pray, and cry aloud: and he shall hear my voice."
14751,Psalms 55:18,Psalms,19,55,18,102,He hath delivered my soul in peace from the battle that was against me: for there were many with me.
14752,Psalms 55:19,Psalms,19,55,19,130,"God shall hear, and afflict them, even he that abideth of old. Selah. Because they have no changes, therefore they fear not God."
14753,Psalms 55:20,Psalms,19,55,20,96,He hath put forth his hands against such as be at peace with him: he hath broken his covenant.
14754,Psalms 55:21,Psalms,19,55,21,137,"The words of his mouth were smoother than butter, but war was in his heart: his words were softer than oil, yet were they drawn swords."
14755,Psalms 55:22,Psalms,19,55,22,108,"Cast thy burden upon the LORD, and he shall sustain thee: he shall never suffer the righteous to be moved."
14756,Psalms 55:23,Psalms,19,55,23,156,"But thou, O God, shalt bring them down into the pit of destruction: bloody and deceitful men shall not live out half their days; but I will trust in thee."
14757,Psalms 56:1,Psalms,19,56,1,91,"Be merciful unto me, O God: for man would swallow me up; he fighting daily oppresseth me."
14758,Psalms 56:2,Psalms,19,56,2,99,"Mine enemies would daily swallow me up: for they be many that fight against me, O thou most High."
14759,Psalms 56:3,Psalms,19,56,3,46,"What time I am afraid, I will trust in thee."
14760,Psalms 56:4,Psalms,19,56,4,103,"In God I will praise his word, in God I have put my trust; I will not fear what flesh can do unto me."
14761,Psalms 56:5,Psalms,19,56,5,76,Every day they wrest my words: all their thoughts are against me for evil.
14762,Psalms 56:6,Psalms,19,56,6,104,"They gather themselves together, they hide themselves, they mark my steps, when they wait for my soul."
14763,Psalms 56:7,Psalms,19,56,7,76,"Shall they escape by iniquity? in thine anger cast down the people, O God."
14764,Psalms 56:8,Psalms,19,56,8,90,Thou tellest my wanderings: put thou my tears into thy bottle: are they not in thy book?
14765,Psalms 56:9,Psalms,19,56,9,90,"When I cry unto thee, then shall mine enemies turn back: this I know; for God is for me."
14766,Psalms 56:10,Psalms,19,56,10,68,In God will I praise his word: in the LORD will I praise his word.
14767,Psalms 56:11,Psalms,19,56,11,75,In God have I put my trust: I will not be afraid what man can do unto me.
14768,Psalms 56:12,Psalms,19,56,12,63,"Thy vows are upon me, O God: I will render praises unto thee."
14769,Psalms 56:13,Psalms,19,56,13,144,"For thou hast delivered my soul from death: wilt not thou deliver my feet from falling, that I may walk before God in the light of the living?"
14770,Psalms 57:1,Psalms,19,57,1,171,"Be merciful unto me, O God, be merciful unto me: for my soul trusteth in thee: yea, in the shadow of thy wings will I make my refuge, until these calamities be overpast."
14771,Psalms 57:2,Psalms,19,57,2,76,I will cry unto God most high; unto God that performeth all things for me.
14772,Psalms 57:3,Psalms,19,57,3,144,"He shall send from heaven, and save me from the reproach of him that would swallow me up. Selah. God shall send forth his mercy and his truth."
14773,Psalms 57:4,Psalms,19,57,4,162,"My soul is among lions: and I lie even among them that are set on fire, even the sons of men, whose teeth are spears and arrows, and their tongue a sharp sword."
14774,Psalms 57:5,Psalms,19,57,5,82,"Be thou exalted, O God, above the heavens; let thy glory be above all the earth."
14775,Psalms 57:6,Psalms,19,57,6,155,"They have prepared a net for my steps; my soul is bowed down: they have digged a pit before me, into the midst whereof they are fallen themselves. Selah."
14776,Psalms 57:7,Psalms,19,57,7,75,"My heart is fixed, O God, my heart is fixed: I will sing and give praise."
14777,Psalms 57:8,Psalms,19,57,8,74,"Awake up, my glory; awake, psaltery and harp: I myself will awake early."
14778,Psalms 57:9,Psalms,19,57,9,88,"I will praise thee, O Lord, among the people: I will sing unto thee among the nations."
14779,Psalms 57:10,Psalms,19,57,10,73,"For thy mercy is great unto the heavens, and thy truth unto the clouds."
14780,Psalms 57:11,Psalms,19,57,11,82,"Be thou exalted, O God, above the heavens: let thy glory be above all the earth."
14781,Psalms 58:1,Psalms,19,58,1,92,"Do ye indeed speak righteousness, O congregation? do ye judge uprightly, O ye sons of men?"
14782,Psalms 58:2,Psalms,19,58,2,85,"Yea, in heart ye work wickedness; ye weigh the violence of your hands in the earth."
14783,Psalms 58:3,Psalms,19,58,3,96,"The wicked are estranged from the womb: they go astray as soon as they be born, speaking lies."
14784,Psalms 58:4,Psalms,19,58,4,99,Their poison is like the poison of a serpent: they are like the deaf adder that stoppeth her ear;
14785,Psalms 58:5,Psalms,19,58,5,76,"Which will not hearken to the voice of charmers, charming never so wisely."
14786,Psalms 58:6,Psalms,19,58,6,97,"Break their teeth, O God, in their mouth: break out the great teeth of the young lions, O LORD."
14787,Psalms 58:7,Psalms,19,58,7,128,"Let them melt away as waters which run continually: when he bendeth his bow to shoot his arrows, let them be as cut in pieces."
14788,Psalms 58:8,Psalms,19,58,8,127,"As a snail which melteth, let every one of them pass away: like the untimely birth of a woman, that they may not see the sun."
