page_number,url,text
21,https://hymnary.org/page/fetch/SSSH1989/21/high,"rit [NEWLINE] blood, will pass, [ will pass 0 ver you: see the   blood, [NEWLINE] ver you. [NEWLINE] What a Wonderful Saviour! [NEWLINE] ELISHA A. HOFFMAN [NEWLINE] ELISHA A, HOFFMAN [NEWLINE] 1. Christ has for sin a tonement made, What a won der ful Sav iour! 2. 1 praise  Him for the cleansing blood, What a won der ful Sav iour! 3. He cleansed my heart from all its sin, What a won der ful Sav iour! 4 He gives me ver com ing` pow'r, What a won der ful Sav iour! 5 To Him [ ve giv en all my heart, What a won der ful Sav iour! [NEWLINE] We are redeemed! The price is paid! What a won der ful Sav iour! That rec on ciled my soul to God; What a won der ful Sav iour! And now He reigns and rules   there in; What a won der ful Sav iour! And tri umph in each try ing hour; What a won der ful Sav iour! The world shall nev er share a part; What a won der ful Sav iour! [NEWLINE] What a won der ful Sav iour is Je sus, my Je sus! [NEWLINE] What a won der ful Sav iour is Je suS, my Lord!"
22,https://hymnary.org/page/fetch/SSSH1989/22/high,"22 Are You Washed in the Blood? ELISHA A. HOFFMAN ELISHA A. HOFFMAN [NEWLINE] Have you been to Je suS for the cleansing pow'r? Are you washed in the 2. Are you walk ing dai ly by the Sav iour'$ side? Are you washed in the 3 When the Bridegroom cometh will your robes be   white? Are you washed in the 4 Lay a side the garments that are stained with sin, And be washed in the [NEWLINE] R8|NH [NEWLINE] blood of the Lamb? Are you ful ly trusting in His grace this hour? Are you blood of the Lamb? Do you rest each moment in the Cru ci fied? Are you blood of the Lamb? Will your soul be ready for the mansions bright; And be blood of the Lamb? There' $ a fountain  flowing for the soul un clean, 0 be [NEWLINE] washed in the blood of   the Lamb? washed in the blood of   the Lamb? Are you washed in the blood, washed in the blood of the Lamb? Are you washed in the blood, washed in the blood of the Lamb? [NEWLINE] B In the soulcleans-ing blood of the Lamb? Are your   garments of the Lamb? [NEWLINE] 3e}) 4V spotless? Are they white as snow? Are you washed in the blood   of the Lamb?"
23,https://hymnary.org/page/fetch/SSSH1989/23/high,"There Is Power in the Blood 23 LEWIS E. JONES LEWIS E. JONES [NEWLINE] 1. Would you be free from your bur den of sin? There'$ pow'r in the blood, 2. Would you be free from your pas sion and pride? There '$ pow in the blood, 3. Would you bewhit er,much whit er than snow? There'$ pow in the blood, 4. Would you do serv ice for Je sus your King? There'$ pow'r in the blood, [NEWLINE] pow r in the blood; Would  you 0'er e vil a vic tory win? There $ pow r in the blood; Come for a cleansing to Cal vary S tide; There ' $ pow' r in the blood; Sin stains are lost in its life giving flow; There ' $ pow r in the blood; Would you live dai ly His prais es to sing? There' $ [NEWLINE] won der ful pow'r in the   blood. won der ful pow'r in the   blood. There is pow'1, pow 1, Wonder-working pow r won derful pow'r in the   blood, there is won derful pow'r in the blood_ [NEWLINE] In the   blood [NEWLINE] of the Lamb; There is pow' I, pow 5, In the blood, of the Lamb; there is [NEWLINE] Wonder - working pow r In the pre cious blood of the Lamb."
24,https://hymnary.org/page/fetch/SSSH1989/24/high,"24 And Can It Be That I Should Gain? [NEWLINE] CHARLES WESLEY [NEWLINE] THOMAS CAMPBELL [NEWLINE] 1. And can it be that 1 should gain An in t'rest in the 2. He left His   Fa ther'$ throne a bove, So free, SO in fi 3. Long my impris oned spir Iay Fast bound  in sin and [NEWLINE] Sav iour's   blood? Died He for me, who caused His pain? For me, who nite His grace; Emptied Himself of all but love, And bled for na ture 's  night; Thine eyedif fused a quick- 'ning ray, 1 woke, the [NEWLINE] Him to death pur sued? A ~mazing lovel how can it be That A dam 's helpless race; 'Tis mercy all, im mense and free; For, dun geon flamed with light; My chains fell off, my heart was free; 1 [NEWLINE] Thou, my God, should'st  die for me? A maz ing lovel how 0 my God, it found out me. rose , went forth, and fol lowed Thee. A mazing lovel"
25,https://hymnary.org/page/fetch/SSSH1989/25/high,"can it be [NEWLINE] That Thou, my God, should'st die for me? How can it be That Thou, my God, [NEWLINE] Favorite song of Dr. Bob Jones III and Dr, Rod Bell, [NEWLINE] Wounded for Me W. G. OVENS and GLADYS W. ROBERTS [NEWLINE] W. G. OVENS [NEWLINE] 1. Wound ed for me; wounded for me_ There on the cross 2. Dy ing for me, dy ing for me, There on the crosS 3. Ris en for me, ris en for me, Up from the grave 4 Liv ing for me, liv ing for me, Up in the skies 5. Com ing for me, com ing for me, One day to earth [NEWLINE] He was wound ed for me; He was dy ing for me; He has ris en for me; He is liv ing for me; He is com ing for me; [NEWLINE] Gone my trans gres sions, and Now in His death my re Now ev er more from death '$ Dai ly He's plead ing and Then with what joy His dear [NEWLINE] dim [NEWLINE] now am free, demption [ see, sting [ am free, praying for me, face [ shall see, [NEWLINE] AII because Je sus was wounded for me. AlL because Je suS was dy ing for me AII because Je suS has ris en for me AII because Je suS is liv ing for me_ how [ praise Him! He '$ com-: ing for me"
26,https://hymnary.org/page/fetch/SSSH1989/26/high,"Hallelujah for the Cross! HORATIUS BONAR, arr. JAMES McGRANAHAN [NEWLINE] 1. The cross it stand eth fast, Halle lu jah, hal le lu jah! De- 2 It is the  old cross still; Hal le lu jah, hal le lu jah! Its 3. 'Twas there the debt was paid, Hal le lu jah,  hal le lu jah! Our [NEWLINE] fy ing ev ry blast, Halle lu jah, hal le lu jah! The tri umph let uS tell Halle lu jah, hal le lu jah! The sins on Je suS laid, Hal le lu jah, hal le lu jah! So [NEWLINE] winds of Hell have blown, The world its hate   hath shown, Yet it of God  here shone   Through Christ the bless ed Son, Who grace roundthe cross we sing Of Christ our of fer ing; Of [NEWLINE] is not ver thrown, Hal le lu jah for the cross! did for sin a tone, Hal le lu jah for the cross! Christ our liv ing King, Hal le lu jah for the cross!"
27,https://hymnary.org/page/fetch/SSSH1989/27/high,"Obligato Duet: Soprano (or Tenor) and Alto [NEWLINE] Hal le lu jah, hal le lu jah, Soprano and Alto (may omit middle, sing upper staff) [NEWLINE] Halle [NEWLINE] Hal le lujah, Tenor and Bass [NEWLINE] hal le lu jah; Hal le [NEWLINE] jah for the cross! [NEWLINE] Halle -lu jah, #A lu jah for the cross, hal le lujah for the cross! Hal lelu-jah, [NEWLINE] Halle lu jah, [NEWLINE] It shall nev er suf fer loss! # hal le lujah, It shall nev er suffer, nev er suf fer loss! Pf0 [NEWLINE] Halle_ lu jah, hal le lu jah, Halle lu jah for the cross! [NEWLINE] cresc [NEWLINE] Halle lu jah, hal le lujah, It shall never suffer loss! [NEWLINE] Af#2"
28,https://hymnary.org/page/fetch/SSSH1989/28/high,"The Old Rugged Cross GEORGE BENNARD GEORGE BENNARD [NEWLINE] 1. On a hill far   away stood an old rugged cross, The emblem of 2. 0, that old rugged cross So despised by the world, Has a wondrous at 3. In the old rugged cross, stained with blood SO divine, A won drous 4. To the old rugged cross [ will ev er be true, Its shame and re [NEWLINE] suff"" ring and shame; And I love that old cross where the Dear est and Best traction for me; For the dear Lamb of God left His  glo Ty above, beauty 1 see; For 'twas on that old cross   Jesus suf fered and died, proach gladly bear; Then He'Il call me someday to my Home far a way, [NEWLINE] For a world of lost   sinners was slain. To bear it to dark Calva ry To pardon and sancti fy me. Where His glo ry for ever FII share. [NEWLINE] So ['Il  cher ish the old rugged croSS, the [NEWLINE] cross, [NEWLINE] Till my trophies at last 1 Jay down; old rugged cross, [NEWLINE] will cling to the [NEWLINE] #FH p Copyright 1913 by George Bennard. Copyright Renewed [941 (extended), The Rodeheaver Co , Owner: Used by Permission: Favorite song of Dale Evans Rogers."
29,https://hymnary.org/page/fetch/SSSH1989/29/high,"old rugged cross, And exchange it someday for a crown: cross, the old  rugged cross, [NEWLINE] Alas! and Did My Saviour Bleed? 28 ISAAC WATTS HUGH WILSON [NEWLINE] 1. A las! and did my Sav iour bleed? And did my Sov-'reign die? 2. Was it for  crimes that have done He groaned up on the tree? 3. Well might the sun in dark ness hide, And shut His glo _ ries in, 4 But drops of grief can ne er re pay The debt of love 1 owe; [NEWLINE] Would He de vote that sa cred head For such a worm as I? A maz ing pit yl grace unknown! And   love be yond de greel When Christ;the might y Mak er, died For man the creature S sin. Here, Lord, 1 give my self t0   Thee__'Tis all that can do."
30,https://hymnary.org/page/fetch/SSSH1989/30/high,"At the Cross [NEWLINE] ISAAC WATTS Refrain: RALPH E. HUDSON [NEWLINE] RALPH E: HUDSON [NEWLINE] 1. A las, and did my Sav iour bleed? And did my Sov-'reign   die? 2 Was it for crimes that 1 have done, He groaned up on the tree? 3_ Well might the sun in dark ness hide, And shut His glo ries in, 4. But drops of grief can ne er re pay The debt of  love I owe; [NEWLINE] Would He devote   that sa cred head For such a worm as I? A maz ing pit yl grace   unknown! And love be yond de greel When Christ,  themight y Mak er; died For man the creature S sin. Here, Lord, 1 give my self away, 'Tis all that 1 can dol [NEWLINE] At the cross, at the cross where [ first saw the light; And the [NEWLINE] burden   of my heart rolled away, (rolled away,) It was there by faith [NEWLINE] received my sight; And now am happy all the day!"
